Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,RL,59.0,8452,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,16,2,2004,2004,Gable,CompShg,BrkFace,Wd Sdng,Stone,194.0,Gd,Gd,PConc,Ex,TA,No,Unf,709,LwQ,7,159,850,GasA,Ex,Y,SBrkr,860,847,-9,1717,-2,-1,3,4,-1,-1,TA,13,Typ,8,TA,,2004.0,Fin,10,541,,TA,Y,7,58,2,3,-8,-1,,MnPrv,,7,-3,2009,WD,Normal,208498
2,20,RL,71.0,9603,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,1Fam,1Story,-2,9,1975,1975,Gable,CompShg,Plywood,HdBoard,BrkFace,-8.0,Gd,TA,PConc,TA,TA,Av,ALQ,984,Unf,-5,288,1261,GasA,Ex,Y,SBrkr,1261,-2,7,1262,2,5,-6,-5,-6,8,TA,-2,Typ,1,Gd,Attchd,1975.0,Fin,-2,469,TA,,Y,298,8,6,-7,6,-2,,,,-5,7,2008,WD,Normal,181503
3,60,RL,69.0,11247,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,14,6,2000,2001,Gable,Tar&Grv,VinylSd,HdBoard,None,162.0,Gd,TA,CBlock,TA,TA,,GLQ,485,Unf,3,438,925,Wall,TA,Y,SBrkr,925,870,5,1792,-7,7,-6,4,9,6,Fa,-4,Typ,-2,,,2000.0,,6,615,TA,TA,Y,7,51,2,1,-10,-8,,,,-7,-1,2007,WD,Normal,223493
4,70,RL,53.0,9551,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,6,3,1916,1969,Gable,CompShg,Plywood,Wd Sdng,BrkFace,-8.0,TA,TA,PConc,TA,TA,Mn,GLQ,209,ALQ,-3,549,758,GasA,Ex,Y,SBrkr,965,752,5,1707,9,-1,1,-8,7,-9,TA,14,Typ,9,TA,Detchd,1999.0,Unf,-7,645,TA,TA,Y,7,28,267,3,-8,5,,,,-6,-8,2007,WD,Normal,139998
5,60,RL,87.0,14264,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1Story,16,0,1999,2001,Gable,CompShg,Wd Sdng,HdBoard,BrkFace,359.0,Gd,TA,BrkTil,Fa,TA,Mn,ALQ,664,BLQ,8,489,1136,GasA,Gd,Y,SBrkr,1149,1062,2,2201,4,3,1,3,3,-8,Gd,0,Typ,-7,Gd,Attchd,1999.0,Unf,-4,831,TA,TA,Y,200,92,-1,1,-9,7,,,,-1,4,2007,WD,Normal,249990
6,50,RL,85.0,14115,Pave,,Reg,Bnk,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,-1,10,1994,1994,Gable,CompShg,HdBoard,VinylSd,BrkFace,5.0,TA,TA,PConc,TA,TA,Gd,ALQ,730,Unf,-8,64,798,GasA,TA,Y,SBrkr,788,567,-6,1369,5,3,-6,2,-4,-3,TA,-1,Typ,7,,Detchd,1992.0,RFn,-5,473,Fa,TA,Y,31,24,-4,324,-2,-4,,MnPrv,,705,6,2008,WD,Partial,143007
7,20,RL,68.0,10093,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,PosA,Norm,1Fam,SLvl,9,5,2005,2006,Gable,CompShg,Stucco,HdBoard,BrkFace,185.0,TA,TA,CBlock,Gd,TA,Gd,GLQ,1376,Unf,6,315,1691,GasA,Gd,Y,SBrkr,1696,3,-8,1695,1,7,-6,7,-6,-2,Gd,3,Typ,-5,,Attchd,2003.0,RFn,-7,644,TA,TA,Y,256,59,2,5,-10,-9,,,,0,10,2008,WD,Normal,307000
8,60,RL,,10389,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Somerst,Norm,Norm,1Fam,2Story,4,1,1974,1974,Gable,CompShg,MetalSd,Wd Sdng,BrkFace,231.0,TA,TA,CBlock,TA,TA,Gd,GLQ,855,Unf,24,221,1103,GasA,Ex,Y,SBrkr,1116,988,-8,2080,-9,-1,7,-5,-3,-9,TA,-2,Typ,9,TA,Attchd,1972.0,,10,493,TA,TA,Y,244,201,231,-8,4,-5,,,,358,2,2010,WD,Normal,199998
9,50,RM,60.0,6123,Pave,,Reg,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,2Story,1,12,1930,1949,Gable,CompShg,VinylSd,HdBoard,None,-8.0,TA,TA,CBlock,Gd,TA,No,GLQ,7,Unf,4,956,946,GasA,Ex,Y,SBrkr,1016,761,8,1775,5,0,6,-5,-4,-6,Gd,11,Min1,-3,Ex,Attchd,1930.0,RFn,-2,467,TA,TA,Y,96,2,205,4,8,0,,,,-5,13,2009,WD,Partial,129898
10,190,RL,48.0,7429,Pave,,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,-4,0,1938,1951,Mansard,CompShg,HdBoard,Plywood,None,1.0,TA,TA,CBlock,Gd,TA,No,GLQ,853,LwQ,4,143,984,GasA,Ex,Y,SBrkr,1068,4,4,1080,-5,1,10,7,10,-4,Gd,-2,Typ,-4,Gd,Attchd,1938.0,RFn,8,207,TA,TA,Y,-2,-2,-3,4,7,-8,,,,9,-6,2007,WD,Normal,117991
11,20,RL,78.0,11209,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1.5Fin,-1,4,1966,1964,Gable,CompShg,MetalSd,Wd Sdng,None,4.0,Gd,TA,PConc,Fa,TA,No,ALQ,912,Unf,-9,142,1034,GasA,Ex,Y,SBrkr,1046,-10,3,1036,8,-2,-1,-2,9,-6,Gd,-2,Typ,-6,Gd,BuiltIn,1966.0,Fin,10,380,TA,Po,Y,7,-7,8,-5,3,-1,,,,-10,1,2007,WD,Normal,129497
12,60,RL,90.0,11926,Pave,,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,SLvl,2,7,2006,2005,Gable,CompShg,MetalSd,VinylSd,BrkFace,279.0,Gd,TA,BrkTil,TA,TA,No,Unf,992,Unf,-1,169,1176,GasA,TA,Y,SBrkr,1189,1142,1,2330,10,-6,10,3,6,-3,TA,17,Typ,6,Gd,Attchd,2004.0,Fin,4,729,TA,Gd,Y,147,22,1,6,8,4,,,,5,-2,2005,WD,Normal,344993
13,20,RL,,12968,Pave,,Reg,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,-4,1,1961,1961,Gable,CompShg,MetalSd,HdBoard,None,7.0,TA,Fa,CBlock,TA,Fa,No,GLQ,729,Unf,-3,182,920,GasA,TA,Y,SBrkr,913,4,-10,910,4,-2,-7,7,8,-7,TA,5,Typ,2,TA,Attchd,1961.0,Unf,-3,348,TA,TA,Y,130,4,4,7,178,6,,,,7,3,2007,WD,Normal,144008
14,20,RL,85.0,10660,Pave,,Reg,Low,AllPub,CulDSac,Gtl,Timber,Feedr,Norm,1Fam,1Story,-3,-1,2005,2006,Gable,CompShg,MetalSd,VinylSd,BrkFace,301.0,TA,TA,CBlock,TA,,No,Unf,6,Unf,-9,1502,1494,GasA,Ex,Y,SBrkr,1493,4,-5,1494,5,2,1,-6,8,-5,TA,14,Typ,5,Gd,Attchd,2007.0,RFn,-2,843,TA,TA,P,154,24,6,-5,-1,-10,,,,6,7,2008,New,Normal,279492
15,20,RL,,10919,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,Duplex,1Story,-4,-4,1961,1961,Gable,CompShg,MetalSd,VinylSd,None,217.0,TA,TA,PConc,Gd,TA,Av,Unf,738,Unf,-9,525,1243,GasA,Gd,Y,FuseF,1259,8,-1,1247,-8,1,4,10,2,-2,TA,-3,Typ,0,TA,Attchd,1961.0,Unf,-4,350,TA,TA,Y,-2,222,181,1,-6,-9,,,,5,-5,2009,WD,Family,156994
16,45,RM,50.0,6112,Pave,,Reg,Lvl,AllPub,Inside,Sev,Sawyer,Norm,Norm,1Fam,1Story,3,13,1930,2002,Gambrel,CompShg,Wd Sdng,Wd Sdng,None,8.0,TA,TA,CBlock,Gd,TA,No,Unf,-4,Unf,6,822,827,GasA,Ex,N,SBrkr,850,-7,-7,853,6,1,7,1,5,6,TA,5,Typ,-5,,Attchd,1992.0,Unf,2,572,TA,TA,Y,51,106,-5,-1,5,-10,,GdPrv,,-4,13,2006,WD,Normal,132003
17,20,RL,,11234,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,-4,8,1969,1969,Gable,CompShg,Plywood,Stone,BrkFace,188.0,Gd,TA,CBlock,Gd,TA,No,Unf,584,Unf,-10,422,1013,GasA,Ex,Y,SBrkr,1001,-4,5,1003,1,3,7,4,3,-6,Gd,0,Typ,5,TA,Detchd,1971.0,Unf,4,471,TA,TA,Y,3,1,-9,3,8,-2,,GdWo,,692,-5,2009,WD,Normal,149001
18,90,RL,64.0,10782,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,11,8,1966,1966,Gable,CompShg,Wd Sdng,Wd Sdng,None,6.0,TA,TA,CBlock,Gd,TA,No,Unf,-2,BLQ,-10,9,-9,GasA,Ex,Y,FuseA,1294,7,-2,1293,-10,-6,-7,1,8,-8,TA,15,Typ,7,Gd,Attchd,1968.0,Unf,-7,524,TA,TA,Y,5,4,1,9,-3,1,,,,504,4,2007,COD,Normal,90005
19,20,RL,75.0,13696,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,RRAn,Norm,1Fam,1.5Fin,12,-5,2005,2003,Gable,CompShg,VinylSd,MetalSd,None,2.0,Gd,TA,BrkTil,Gd,TA,No,GLQ,649,Rec,7,469,1119,GasA,Ex,Y,SBrkr,1117,9,9,1120,7,-8,9,2,8,0,TA,4,Min2,0,Gd,Attchd,2003.0,Unf,11,569,TA,TA,Y,6,94,4,-8,-9,-4,,,,2,9,2007,WD,Normal,158999
20,20,RL,63.0,7550,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,-4,-4,1959,1964,Gable,CompShg,MetalSd,HdBoard,None,2.0,Gd,TA,CBlock,Gd,TA,No,Unf,494,Unf,7,516,1031,GasA,Ex,Y,FuseF,1337,-4,0,1343,-7,8,-1,-5,-2,3,Gd,11,Typ,-9,TA,Attchd,1957.0,Fin,-7,287,TA,TA,Y,-3,1,-6,-4,-4,7,,,,-1,13,2010,WD,Abnorml,139001
